# EV is used as shorthand, but the Elevation-volume and elevation-area tables were updated for all simulations.	
# Data	Description
# 2010NatFlowRun	Gains above Mead from the 2010 update run. Included to compare against to make sure no other changes were made in the sub-basin above Mead.
# ExistingEVTable	Existing EV (elevation volume) data is from a simulation made with the EV table included in the 2010 update natural flow and salt model. This EV table does not match the old (1963) or new (2009) EV table.
# OldEVTable	From a simulation using the 1963 EV table.
# NewEVTable	From a simulation using the 2009 EV table.
,2010NatFlowRun,ExistingEVTable,OldEVTable,NewEVTable
Mar-85,55872.57,55872.57,55872.6,55946.78
Apr-85,77308.56,77308.56,77308.46,77422.28
May-85,10047.19,10047.19,10046.97,13362.69
Jun-85,99569.09,99569.09,100114.12,104425.63
Jul-85,75752.98,75752.98,75752.7,76160.29
Aug-85,23525.77,23525.77,23526.18,23211.66
Sep-85,41241.88,41241.88,41241.54,42163.16
Oct-85,37723.78,37723.78,37723.84,36339.43
Nov-85,33247.42,33247.42,32703.02,31251.05
Dec-85,37241.68,37241.68,37241.98,35094.9
Jan-86,9589.71,9589.71,9589.19,8429.27
Feb-86,48441.89,48441.89,48441.84,48537.64
Mar-86,30456.29,30456.29,30456.43,30440.78
Apr-86,51311.91,51311.91,51312.93,52299.29
May-86,-89629.89,-89629.89,-89630.42,-86966.68
Jun-86,44956.44,44956.44,45097.95,47228.19
Jul-86,-40349.14,-40349.14,-40490.16,-42299.17
Aug-86,39931.27,39931.27,39931.33,40838.9
Sep-86,2521.75,2521.75,2521.93,4123.6
Oct-86,59275.88,59275.88,59275.94,59570.53
Nov-86,46164.56,46164.56,46164.31,47490.98
Dec-86,31137.79,31137.79,31562.9,32290.2
Jan-87,29446.49,29446.49,29272.04,29506.08
Feb-87,87794.84,87794.84,88089.21,88550.53
Mar-87,23899.67,23899.67,23355.19,22149.32
Apr-87,52326.40,52326.4,52326.45,51944.57
May-87,13714.07,13714.07,13714,12846.34
Jun-87,32326.45,32326.45,32326.91,33179.9
Jul-87,30236.84,30236.84,30236.66,31716.39
Aug-87,85410.83,85410.83,85411.1,87546.74
Sep-87,37456.83,37456.83,37456.81,38228.16
Oct-87,21078.36,21078.36,21078.82,20546.3
Nov-87,38968.48,38968.48,39022.56,40581.01
Dec-87,19242.81,19242.81,19733.16,20771.54
